// Wall of Repulsion
// Ice Barrier
new entry "Wall_Mystic_IceBarrier"
type "SpellData"
data "SpellType" "Wall"
data "Level" "7"

data "Icon" "Action_Mystic_IceBarrier"
data "DisplayName" "hffbc0d49gca10g4226g8cd5ga1651badf1a7"
data "Description" "h57821bc1gaf2bg4bdagb5f1g264110b45cc7"
data "DescriptionParams" "DealDamage(10d6,Cold)"
data "ExtraDescription" "h0e41f0e2g6333g4f92g8a5cg42405d60a12c;1"
data "ExtraDescriptionParams" "DealDamage(10d6,Cold)"

data "TargetRadius" "18"
data "MaxDistance" "9"
data "Lifetime" "60"
data "SurfaceType" "WaterFrozen"
data "SurfaceRadius" "2"
data "TooltipDamageList" "DealDamage(10d6,Cold);DealDamage(10d6,Cold,,,,ad727a13-c6f0-4b5b-aefd-aac79c6ed46e)"
data "TooltipAttackSave" "Dexterity"
data "CastSound" "Spell_Cast_Wizard_WallOfIce_L6to8"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;PsiPointsResource:7;PsiLimitResource:1:7"
// monk anim
// data "SpellAnimation" "101629c4-d30c-4ae7-b316-9d6423e7298a,,;,,;1b48e605-d73d-48ab-8b69-6f7434f1cd28,,;4d111581-49d7-4820-b839-fa7e363a200c,,;9af429ab-54e8-455b-99d0-71c62e66ad64,,;,,;e550f983-faab-412b-a55d-237a1e17d4da,,;,,;,,"
data "SpellAnimation" "554a18f7-952e-494a-b301-7702a85d4bc9,,;,,;6123de84-27e4-4e81-9e1f-8031cc0ebc0d,,;cb171bda-f065-4520-b470-e447f678ba1f,,;22dfbbf4-f417-4c84-b39e-2039315961e6,,;,,;5bfbe9f9-4fc3-4f26-b112-43d404db6a89,,;,,;,,"
data "SpellFlags" "IsConcentration;IsSpell"
data "VerbalIntent" "Damage"
data "ItemWall" "WallOfIce"
data "ItemWallStatus" "WALLOFICE"
data "CastSound" "Spell_Cast_Damage_Ice_ConeOfCold_L4to5"
data "TargetSound" "Spell_Impact_Damage_Ice_ConeOfCold_L4to5"
data "PrepareEffect" "f4aab3ad-a4ad-48e1-9052-3808e2b65981"
data "CastEffect" "043b39c7-a30a-4b81-bc37-404e2ccc8c66"
data "SpellSoundMagnitude" "Big"

// Wall of Clouds
new entry "Wall_Mystic_WallOfClouds"
type "SpellData"
data "SpellType" "Wall"
data "Level" "2"

data "Icon" "Action_Mystic_WallOfClouds"
data "DisplayName" "h236c1b88gf8d4g4d65gb25eg7dfa0205eec4"
data "Description" "hf07089f7g1ee6g49dag9181g699a25bd460f"
data "DescriptionParams" ""

data "TargetRadius" "18"
data "MaxDistance" "9"
data "Lifetime" "60"
data "SurfaceType" "FogCloud"
data "SurfaceRadius" "3"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;PsiPointsResource:2"
// monk anim
// data "SpellAnimation" "101629c4-d30c-4ae7-b316-9d6423e7298a,,;,,;1b48e605-d73d-48ab-8b69-6f7434f1cd28,,;4d111581-49d7-4820-b839-fa7e363a200c,,;9af429ab-54e8-455b-99d0-71c62e66ad64,,;,,;e550f983-faab-412b-a55d-237a1e17d4da,,;,,;,,"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;6123de84-27e4-4e81-9e1f-8031cc0ebc0d,,;cb171bda-f065-4520-b470-e447f678ba1f,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "SpellFlags" "IsSpell;IsConcentration;"
data "ItemWall" "WallOfFire"
data "ItemWallStatus" ""
data "PrepareSound" "Spell_Prepare_Damage_Lightning_Gen_L1to3"
data "PrepareLoopSound" "Spell_Prepare_Damage_Lightning_Gen_L1to3_Loop"
data "CastSound" "Spell_Cast_Control_FogCloud_L1to3"
data "TargetSound" "Spell_Impact_Damage_Lightning_ShockingGrasp_L0"
data "PrepareEffect" "eb8f4a4d-ef14-460d-bf18-78e34230cb20"
data "CastEffect" "f2deaa91-ee3f-4c21-954b-618ac94cf39c"
data "TargetEffect" "2cb94a0e-ef84-4cd5-a224-9a59038fd719"
data "SpellSoundMagnitude" "Big"

// Wall of Thunder
new entry "Wall_Mystic_WallOfThunder"
type "SpellData"
data "SpellType" "Wall"
data "Level" "6"

data "Icon" "Action_Mystic_WallOfThunder"
data "DisplayName" "h0fdf4a1eg519cg46bcg8735g75b7d7dcc113"
data "Description" "hf2400914g9a65g461cga04bgb38b576426fc"
data "DescriptionParams" "Distance(3)"

data "TargetRadius" "18"
data "MaxDistance" "9"
data "Lifetime" "60"
data "SurfaceType" "Water"
data "SurfaceRadius" "3"
data "TooltipDamageList" "DealDamage(6d6,Thunder)"
data "TooltipAttackSave" "Strength"
data "TooltipOnSave" "f762efbb-f8f1-493e-b248-2de1567b4bd2"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;PsiPointsResource:6;PsiLimitResource:1:6"
// monk anim
// data "SpellAnimation" "101629c4-d30c-4ae7-b316-9d6423e7298a,,;,,;1b48e605-d73d-48ab-8b69-6f7434f1cd28,,;4d111581-49d7-4820-b839-fa7e363a200c,,;9af429ab-54e8-455b-99d0-71c62e66ad64,,;,,;e550f983-faab-412b-a55d-237a1e17d4da,,;,,;,,"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;6123de84-27e4-4e81-9e1f-8031cc0ebc0d,,;cb171bda-f065-4520-b470-e447f678ba1f,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "SpellFlags" "IsSpell;IsConcentration"
data "ItemWall" "WallOfFire"
data "ItemWallStatus" "MYSTIC_WALLOFTHUNDER"
data "PrepareSound" "Spell_Prepare_Damage_Lightning_Gen_L1to3"
data "PrepareLoopSound" "Spell_Prepare_Damage_Lightning_Gen_L1to3_Loop"
data "CastSound" "Spell_Cast_Damage_Lightning_ShockingGrasp_L0"
data "TargetSound" ""
data "PrepareEffect" "3eda8832-8a7e-43cb-8c49-9ccc66e989e0"
data "CastEffect" "b9df448f-59e9-4369-bc24-e37dd46cf4b1"
data "TargetEffect" "8d893e63-1f77-404d-b703-d831d09d8387"
data "SpellSoundMagnitude" "Big"
data "DamageType" "Thunder"

// Wall of Wood
new entry "Wall_Mystic_WallOfWood"
type "SpellData"
data "SpellType" "Wall"
data "Level" "5"

data "Icon" "Action_Mystic_WallOfWood"
data "DisplayName" "h6fcdffeegbad6g4e69gbfb6g755185e04884"
data "Description" "h198949eeg4602g4235ga8d8g61ec1bea9738"
data "DescriptionParams" ""

data "TargetRadius" "18"
data "MaxDistance" "9"
data "PrepareSound" "Spell_Prepare_Summon_ConjureElemental_Myrmidon_Earth_L6to8"
data "PrepareLoopSound" "Spell_Loop_Summon_ConjureElemental_Myrmidon_Earth_L6to8"
data "CastSound" "Spell_Cast_Control_WallOfStone_L4to5"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;PsiPointsResource:5;PsiLimitResource:1:5"
// monk anim
// data "SpellAnimation" "101629c4-d30c-4ae7-b316-9d6423e7298a,,;,,;1b48e605-d73d-48ab-8b69-6f7434f1cd28,,;4d111581-49d7-4820-b839-fa7e363a200c,,;9af429ab-54e8-455b-99d0-71c62e66ad64,,;,,;e550f983-faab-412b-a55d-237a1e17d4da,,;,,;,,"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;6123de84-27e4-4e81-9e1f-8031cc0ebc0d,,;cb171bda-f065-4520-b470-e447f678ba1f,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "SpellFlags" "IsConcentration;IsSpell"
data "VerbalIntent" "Utility"
data "ItemWall" "WallOfStone"
data "SpellSoundMagnitude" "Big"
data "CastSound" "Spell_Cast_Control_WallOfStone_L4to5"
data "TargetSound" "Spell_Impact_Buff_Shillelagh_L0"
data "PrepareEffect" "e8109f4b-2439-4424-9bc8-743270220f47"
data "CastEffect" "53c9d361-0fc1-4d72-a70b-bc2611d538f0"
data "TargetEffect" "037dc8e8-15e0-439f-ae4d-ad6a93e85cfd"
